id;display_name;total_possible_rewards;council_elected_in_round;council_members;term_length;start_block;start_date;end_block;end_date;term_summary;summary_submission_deadline;max_fiat_pool_difference;number_of_kpis;notes
1;modular Steel Computer;Norway Triple-buffered;75722;14291;customized Program Mexico;15219;2021-10-20;brand;2021-10-21;JSON eyeballs drive;Bedfordshire Ranch;Fresh responsive;Optimization mint Automotive;regional lime Books
2;transmitting Frozen;Rustic scalable;47631;40895;Assistant proactive compressing;65836;2021-10-21;neutral;2021-10-20;Nigeria teal;ivory;Buckinghamshire invoice Director;Coves Salad Operations;reboot Luxembourg alarm
3;payment;frictionless Frozen methodical;46625;36421;synthesizing Decentralized applications;630;2021-10-20;Chief green bypassing;2021-10-20;application fuchsia;one-to-one;purple;Taiwan olive supply-chains;grey
4;multi-byte withdrawal firewall;Account;48311;69073;Computer Oval purple;38746;2021-10-20;Wooden SMTP Fundamental;2021-10-21;methodical models withdrawal;Clothing model;monitor indexing Singapore;firewall;Escudo Implementation
5;architect Creative;Account;6315;48145;Licensed plum;23762;2021-10-20;Incredible;2021-10-21;Sahara Multi-channelled;Buckinghamshire Plastic Qatari;wireless;encryption Soft digital;payment
6;end-to-end;Pennsylvania generate Generic;79682;17317;Mall user;50088;2021-10-21;action-items Factors;2021-10-20;Territories Street SCSI;orange Vista;Krona invoice;proactive;Tools
7;Computer navigating;Virginia compress cyan;195;30964;secondary;17591;2021-10-21;Personal;2021-10-21;Illinois Gloves;sticky Quality Generic;Mexico Games;Bike;Lebanese
8;Outdoors Handcrafted;Street empower withdrawal;42707;89036;Bedfordshire Analyst;87568;2021-10-20;collaboration optical Sausages;2021-10-20;exploit bus;Buckinghamshire SMS;Incredible Proactive;Chief Arizona Account;microchip Future optical
9;Mexico;Metal Central Concrete;35966;6864;Optimization;42446;2021-10-21;Berkshire;2021-10-21;bypass;Exclusive;facilitate Cotton Cambridgeshire;infomediaries teal SMS;Programmable Plastic proactive
10;Place;maroon Integration transmit;69959;82186;driver;96613;2021-10-21;deposit connect THX;2021-10-20;CSS Handmade;Island Home;Fantastic indigo reserved;deposit;hub Soft
