id;title;reward;reward_distribution;grading_process;active;purpose;scope_of_work;reward_distribution_info;reporting;fiat_pool_factor;grading
1;optimize Executive Books;service-de;cyan;virtual Afghanistan;Account Chair;(Keeling) leading-edge Cheese;matrix mesh;line;communities;32325;orchid
2;drive Checking;transmitti;Buckinghamshire;COM deposit;Mali;integrate overriding;Concrete Mount;whiteboard next-generation Analyst;Lao;94475;task-force bypass Outdoors
3;systematic;state Berk;B2C white;lavender B2B;Human;efficient programming;overriding;non-volatile Berkshire Orchestrator;azure Re-engineered matrices;64638;Identity Movies Group
4;FantasticX;utilize;systems Fish Place;solid;Lithuania USB;Handcrafted Bedfordshire;Grocery quantifying Gorgeous;override Yemen;Afghanistan HDD;21790;Concrete
5;payment frictionless;Delaware I;Avon Real Intranet;PCI fuchsia challenge;Cross-group Papua Planner;Court;synthesizing Pizza;quantifying;Cambridgeshire calculating Unbranded;87044;Technician
6;CottonXXXX;compelling;parse parsing;Technician;web;Moldova Montserrat Fish;compress Fields;array open-source Electronics;connect Car;86638;Ford streamline Madagascar
7;disintermediate;Shirt navi;Data;indexing Agent;Gorgeous;Market Ethiopia Mobility;Egyptian Turnpike end-to-end;Liberia project Bedfordshire;Tokelau Solutions;49505;encryption Tasty USB
8;architectX;orange;Integrated infrastructure;engage;Rustic;Bulgaria Garden Bedfordshire;withdrawal B2B portals;Shoes Plastic;array Account;42466;e-commerce
9;channels deliverables;Metal Secu;circuit Shoes pink;Marketing back-end success;evolve HDD Motorway;Accountability optimize;Liaison Avon Grass-roots;Fantastic;Creative;39832;Corporate Games
10;innovateXX;Tuna quant;Luxembourg pricing Peso;Guarani Incredible;Shirt;AI;Cheese solutions;Ghana Optimization Borders;Small;84665;Nevada world-class
